EP_train_inference:0:  15%|| 310/2084 [18:55<1:46:04,  3.59s/it]
avg_loss: 4.639061450958252, avg_ce_loss: 2.6390576362609863, avg_contrast_loss: 2.0000038146972656
avg_loss: 4.639062881469727, avg_ce_loss: 2.6390581130981445, avg_contrast_loss: 2.000004768371582
avg_loss: 4.639064788818359, avg_ce_loss: 2.639059066772461, avg_contrast_loss: 2.0000054836273193
avg_loss: 4.639062881469727, avg_ce_loss: 2.6390581130981445, avg_contrast_loss: 2.000004768371582
avg_loss: 4.639063358306885, avg_ce_loss: 2.6390585899353027, avg_contrast_loss: 2.000005006790161
avg_loss: 4.639063358306885, avg_ce_loss: 2.6390583515167236, avg_contrast_loss: 2.0000052452087402
avg_loss: 4.639063835144043, avg_ce_loss: 2.639058828353882, avg_contrast_loss: 2.0000052452087402
avg_loss: 4.639063358306885, avg_ce_loss: 2.6390585899353027, avg_contrast_loss: 2.000004768371582
avg_loss: 4.639062404632568, avg_ce_loss: 2.6390581130981445, avg_contrast_loss: 2.000004291534424
avg_loss: 4.639063835144043, avg_ce_loss: 2.6390585899353027, avg_contrast_loss: 2.000004768371582
avg_loss: 4.639062881469727, avg_ce_loss: 2.6390581130981445, avg_contrast_loss: 2.000004768371582
avg_loss: 4.639062404632568, avg_ce_loss: 2.6390581130981445, avg_contrast_loss: 2.000004291534424
avg_loss: 4.639062881469727, avg_ce_loss: 2.6390583515167236, avg_contrast_loss: 2.000004529953003
avg_loss: 4.639065265655518, avg_ce_loss: 2.6390585899353027, avg_contrast_loss: 2.0000064373016357
avg_loss: 4.639064788818359, avg_ce_loss: 2.639058828353882, avg_contrast_loss: 2.0000057220458984
avg_loss: 4.639064788818359, avg_ce_loss: 2.6390585899353027, avg_contrast_loss: 2.0000061988830566
avg_loss: 4.639065265655518, avg_ce_loss: 2.639059066772461, avg_contrast_loss: 2.0000061988830566
avg_loss: 4.639061450958252, avg_ce_loss: 2.6390578746795654, avg_contrast_loss: 2.0000038146972656
avg_loss: 4.639063835144043, avg_ce_loss: 2.6390585899353027, avg_contrast_loss: 2.0000052452087402
